Name,QUAI 2 expedition:   u17 Ther Air,QUAI 2 expedition:   U77 Ther Air B,SAS 3 huile:   u17 Ther Air,SAS 2 frais:   u17 Ther Air,SAS 1 stockage:   u17 Ther Air,CF NEG Evap 1 et 2:   u09 S5 Temperature,CF NEG Evap 1 et 2:   U82 EEV OD % B,CF NEG Evap 1 et 2:   u23 EEV OD %,CF NEG Evap 1 et 2:   u75 S5 Temperature B,CF NEG Evap 1 et 2:   u17 Ther Air,QUAI 1 reception:   u17 Ther Air,CF POSITIVE:   u17 Ther Air,DGS combles negative:   Gas Level ppm,DGS combles negative:   Gas Level %,DGS 2 combles milieu:   Gas Level ppm,DGS 3 combles quai 2:   Gas Level ppm,GAS COOLER:   Q06 Fan running,GAS COOLER:   P15 % fan for digita,GAS COOLER:   SD4 Mode expert,GAS COOLER:   A07 S4_Exch_AirOutle,GAS COOLER:   S02 % ventilation ma,GAS COOLER:   CF8 Sonde Sc4 T air,GAS COOLER:   Se2 Vitesse Min,GAS COOLER:   A03 Sc3_Outside_Temp,GAS COOLER:   ON  On/Off,GAS COOLER:   A05 External_Referen,GAS COOLER:   S07 Temp exterieure,GAS COOLER:   S06 Temp exterieure,AKPC ROUBY:   Pc,AKPC ROUBY:   Sgc,AKPC ROUBY:   Prec,AKPC ROUBY:   Condenser speed 1,AKPC ROUBY:   Cond. ctrl.,AKPC ROUBY:   Control sensor,AKPC ROUBY:   Trec,AKPC ROUBY:   Superheat MT,AKPC ROUBY:   Suction temp. To-LT,AKPC ROUBY:   Pc,AKPC ROUBY:   Po-MT,AKPC ROUBY:   Tc,AKPC ROUBY:   Po-BT,AKPC ROUBY:   Tc-LT,AKPC ROUBY:   Ss-BT,AKPC ROUBY:   Cond. control status,AKPC ROUBY:   Pgc,AKPC ROUBY:   Cond. temp.,AKPC ROUBY:   V3tw,AKPC ROUBY:   Tw pump speed,AKPC ROUBY:   Sd-MT,AKPC ROUBY:   Liq inj suc line IT,AKPC ROUBY:   Tw pump running,AKPC ROUBY:   Shp,AKPC ROUBY:   Stw8,AKPC ROUBY:   Suction temp. To-MT,AKPC ROUBY:   Heat reclaim state
Units,degc,degc,degc,degc,degc,degc,%,%,degc,degc,degc,degc,,%,,,,%,,,%,,%,,,,degc,degc,Bar,degc,Bar,%,degc,,degc,degc,degc,Bar,Bar,degc,Bar,degc,degc,,Bar,degc,,%,degc,,,degc,degc,degc,
Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Sample Rate,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min
 05:06:00  19/12/2023,8.61,7.78,9.89,1.72,8.72,-20.22,41,39,-20.00,-19.89,9.72,1.89,603,3.00,456,539,1,3.00,0,3276.70,95.00,0,7.00,8.30,0,2.90,15.00,35.00,63.76,23.22,39.22,6.40,23.22,0,5.94,12.44,-27.17,65.41,28.92,26.61,14.35,-3.06,-14.39,11,61.90,22.06,0,0.00,74.72,0,0,24.94,41.17,-5.00,0
 05:07:00  19/12/2023,8.61,7.78,9.89,1.72,8.72,-20.22,41,39,-20.00,-19.89,9.72,1.89,603,3.00,456,539,1,3.00,0,3276.70,95.00,0,7.00,8.30,0,2.90,15.00,35.00,63.76,23.22,39.22,6.40,23.22,0,5.94,12.44,-27.17,65.41,28.92,26.61,14.35,-3.06,-14.39,11,61.90,22.06,0,0.00,74.72,0,0,24.94,41.17,-5.00,0
 05:08:00  19/12/2023,8.61,7.78,9.89,1.72,8.72,-20.22,41,39,-20.11,-19.89,9.72,1.89,603,3.00,456,539,1,3.00,0,3276.70,95.00,0,7.00,8.30,0,2.90,15.00,35.00,63.76,23.22,39.22,6.40,23.22,0,5.94,12.44,-27.17,65.41,28.92,26.61,14.35,-3.06,-14.39,11,61.90,22.06,0,0.00,74.72,0,0,24.94,41.11,-5.00,0
 05:09:00  19/12/2023,8.61,7.78,9.89,1.72,8.72,-20.22,41,39,-20.11,-19.89,9.72,1.89,603,3.00,456,539,1,3.00,0,3276.70,95.00,0,7.00,8.30,0,2.90,15.00,35.00,63.76,23.22,39.22,6.40,23.22,0,5.94,12.44,-27.17,65.41,28.92,26.61,14.35,-3.06,-14.39,11,61.90,22.06,0,0.00,74.72,0,0,24.94,41.11,-5.00,0
 05:10:00  19/12/2023,8.61,7.78,9.89,1.72,8.72,-20.11,41,39,-19.89,-19.89,9.72,1.89,603,3.00,456,539,1,3.00,0,3276.70,95.00,0,7.00,8.30,0,2.90,15.00,35.00,63.76,23.22,39.22,6.40,23.22,0,5.94,12.44,-27.17,65.41,28.92,26.61,14.35,-3.06,-14.39,11,61.90,22.06,0,0.00,74.72,0,0,24.94,41.00,-5.00,0
 05:11:00  19/12/2023,8.61,7.78,9.89,1.72,8.72,-20.11,41,39,-19.89,-19.89,9.72,1.89,603,3.00,456,539,1,3.00,0,3276.70,95.00,0,7.00,8.30,0,2.90,15.00,35.00,63.76,23.22,39.22,6.40,23.22,0,5.94,12.44,-27.17,65.41,28.92,26.61,14.35,-3.06,-14.39,11,61.90,22.06,0,0.00,74.72,0,0,24.94,41.00,-5.00,0
 05:12:00  19/12/2023,8.50,7.78,9.89,2.00,8.72,-20.22,40,39,-20.11,-19.89,9.78,0.61,598,3.00,465,528,0,3.00,0,3276.70,95.00,0,7.00,8.50,0,8.10,15.00,35.00,65.15,22.78,38.35,4.70,23.22,0,5.50,6.83,-27.11,64.94,29.30,25.78,14.37,-5.28,-14.33,11,62.76,22.72,0,0.00,65.11,0,0,24.22,40.94,-3.33,0
 05:13:00  19/12/2023,8.50,7.78,9.89,2.00,8.72,-20.22,40,39,-20.11,-19.89,9.78,0.61,598,3.00,465,528,0,3.00,0,3276.70,95.00,0,7.00,8.50,0,8.10,15.00,35.00,65.15,22.78,38.35,4.70,23.22,0,5.50,6.83,-27.11,64.94,29.30,25.78,14.37,-5.28,-14.33,11,62.76,22.72,0,0.00,65.11,0,0,24.22,40.94,-3.33,0
 05:14:00  19/12/2023,8.50,7.78,9.89,2.00,8.72,-20.22,41,39,-20.11,-19.89,9.78,0.61,598,3.00,465,528,0,3.00,0,3276.70,95.00,0,7.00,8.50,0,8.10,15.00,35.00,65.15,22.78,38.35,4.70,23.22,0,5.50,6.83,-27.11,64.94,29.30,25.78,14.37,-5.28,-14.33,11,62.76,22.72,0,0.00,65.11,0,0,24.22,40.89,-3.33,0
 05:15:00  19/12/2023,8.50,7.78,9.89,2.00,8.72,-20.22,41,39,-20.11,-19.89,9.78,0.61,598,3.00,465,528,0,3.00,0,3276.70,95.00,0,7.00,8.50,0,8.10,15.00,35.00,65.15,22.78,38.35,4.70,23.22,0,5.50,6.83,-27.11,64.94,29.30,25.78,14.37,-5.28,-14.33,11,62.76,22.72,0,0.00,65.11,0,0,24.22,40.89,-3.33,0
 05:16:00  19/12/2023,8.50,7.78,9.89,2.00,8.72,-20.11,41,39,-20.00,-19.89,9.78,0.61,598,3.00,465,528,0,3.00,0,3276.70,95.00,0,7.00,8.50,0,8.10,15.00,35.00,65.15,22.78,38.35,4.70,23.22,0,5.50,6.83,-27.11,64.94,29.30,25.78,14.37,-5.28,-14.33,11,62.76,22.72,0,0.00,65.11,0,0,24.22,40.78,-3.33,0
 05:17:00  19/12/2023,8.50,7.78,9.89,2.00,8.72,-20.11,41,39,-20.00,-19.89,9.78,0.61,598,3.00,465,528,0,3.00,0,3276.70,95.00,0,7.00,8.50,0,8.10,15.00,35.00,65.15,22.78,38.35,4.70,23.22,0,5.50,6.83,-27.11,64.94,29.30,25.78,14.37,-5.28,-14.33,11,62.76,22.72,0,0.00,65.11,0,0,24.22,40.78,-3.33,0
 05:18:00  19/12/2023,8.50,7.78,9.89,2.00,8.72,-20.22,40,38,-20.11,-19.89,9.78,0.61,598,3.00,465,528,0,3.00,0,3276.70,95.00,0,7.00,8.50,0,8.10,15.00,35.00,65.15,22.78,38.35,4.70,23.22,0,5.50,6.83,-27.11,64.94,29.30,25.78,14.37,-5.28,-14.33,11,62.76,22.72,0,0.00,65.11,0,0,24.22,40.72,-3.33,0
 05:19:00  19/12/2023,8.50,7.78,9.89,2.00,8.72,-20.22,40,38,-20.11,-19.89,9.78,0.61,598,3.00,465,528,0,3.00,0,3276.70,95.00,0,7.00,8.50,0,8.10,15.00,35.00,65.15,22.78,38.35,4.70,23.22,0,5.50,6.83,-27.11,64.94,29.30,25.78,14.37,-5.28,-14.33,11,62.76,22.72,0,0.00,65.11,0,0,24.22,40.72,-3.33,0
 05:20:00  19/12/2023,8.50,7.78,9.89,2.00,8.72,-20.11,40,39,-19.78,-19.89,9.78,0.61,598,3.00,465,528,0,3.00,0,3276.70,95.00,0,7.00,8.50,0,8.10,15.00,35.00,65.15,22.78,38.35,4.70,23.22,0,5.50,6.83,-27.11,64.94,29.30,25.78,14.37,-5.28,-14.33,11,62.76,22.72,0,0.00,65.11,0,0,24.22,40.67,-3.33,0
 05:21:00  19/12/2023,8.50,7.78,9.89,2.00,8.72,-20.11,40,39,-19.78,-19.89,9.78,0.61,598,3.00,465,528,0,3.00,0,3276.70,95.00,0,7.00,8.50,0,8.10,15.00,35.00,65.15,22.78,38.35,4.70,23.22,0,5.50,6.83,-27.11,64.94,29.30,25.78,14.37,-5.28,-14.33,11,62.76,22.72,0,0.00,65.11,0,0,24.22,40.67,-3.33,0
 05:22:00  19/12/2023,8.39,7.72,9.78,1.50,8.72,-20.22,40,38,-20.11,-20.11,9.72,1.50,607,3.00,459,536,0,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.64,22.06,38.09,6.10,23.28,0,5.28,12.11,-27.17,63.57,28.80,25.56,14.36,-3.56,-14.39,11,62.05,22.22,0,0.00,69.22,0,0,24.89,40.61,-2.78,0
 05:23:00  19/12/2023,8.39,7.72,9.78,1.50,8.72,-20.22,40,38,-20.11,-20.11,9.72,1.50,607,3.00,459,536,0,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.64,22.06,38.09,6.10,23.28,0,5.28,12.11,-27.17,63.57,28.80,25.56,14.36,-3.56,-14.39,11,62.05,22.22,0,0.00,69.22,0,0,24.89,40.61,-2.78,0
 05:24:00  19/12/2023,8.39,7.72,9.78,1.50,8.72,-20.22,40,38,-20.22,-20.11,9.72,1.50,607,3.00,459,536,0,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.64,22.06,38.09,6.10,23.28,0,5.28,12.11,-27.17,63.57,28.80,25.56,14.36,-3.56,-14.39,11,62.05,22.22,0,0.00,69.22,0,0,24.89,40.56,-2.78,0
 05:25:00  19/12/2023,8.39,7.72,9.78,1.50,8.72,-20.22,40,38,-20.22,-20.11,9.72,1.50,607,3.00,459,536,0,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.64,22.06,38.09,6.10,23.28,0,5.28,12.11,-27.17,63.57,28.80,25.56,14.36,-3.56,-14.39,11,62.05,22.22,0,0.00,69.22,0,0,24.89,40.56,-2.78,0
 05:26:00  19/12/2023,8.39,7.72,9.78,1.50,8.72,-20.11,40,39,-20.00,-20.11,9.72,1.50,607,3.00,459,536,0,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.64,22.06,38.09,6.10,23.28,0,5.28,12.11,-27.17,63.57,28.80,25.56,14.36,-3.56,-14.39,11,62.05,22.22,0,0.00,69.22,0,0,24.89,40.50,-2.78,0
 05:27:00  19/12/2023,8.39,7.72,9.78,1.50,8.72,-20.11,40,39,-20.00,-20.11,9.72,1.50,607,3.00,459,536,0,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.64,22.06,38.09,6.10,23.28,0,5.28,12.11,-27.17,63.57,28.80,25.56,14.36,-3.56,-14.39,11,62.05,22.22,0,0.00,69.22,0,0,24.89,40.50,-2.78,0
 05:28:00  19/12/2023,8.39,7.72,9.78,1.50,8.72,-20.22,40,38,-20.11,-20.11,9.72,1.50,607,3.00,459,536,0,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.64,22.06,38.09,6.10,23.28,0,5.28,12.11,-27.17,63.57,28.80,25.56,14.36,-3.56,-14.39,11,62.05,22.22,0,0.00,69.22,0,0,24.89,40.44,-2.78,0
 05:29:00  19/12/2023,8.39,7.72,9.78,1.50,8.72,-20.22,40,38,-20.11,-20.11,9.72,1.50,607,3.00,459,536,0,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.64,22.06,38.09,6.10,23.28,0,5.28,12.11,-27.17,63.57,28.80,25.56,14.36,-3.56,-14.39,11,62.05,22.22,0,0.00,69.22,0,0,24.89,40.44,-2.78,0
 05:30:00  19/12/2023,8.39,7.72,9.78,1.50,8.72,-20.22,39,38,-19.72,-20.11,9.72,1.50,607,3.00,459,536,0,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.64,22.06,38.09,6.10,23.28,0,5.28,12.11,-27.17,63.57,28.80,25.56,14.36,-3.56,-14.39,11,62.05,22.22,0,0.00,69.22,0,0,24.89,40.33,-2.78,0
 05:31:00  19/12/2023,8.39,7.72,9.78,1.50,8.72,-20.22,39,38,-19.72,-20.11,9.72,1.50,607,3.00,459,536,0,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.64,22.06,38.09,6.10,23.28,0,5.28,12.11,-27.17,63.57,28.80,25.56,14.36,-3.56,-14.39,11,62.05,22.22,0,0.00,69.22,0,0,24.89,40.33,-2.78,0
 05:32:00  19/12/2023,8.39,8.00,9.50,0.89,8.61,-19.78,41,39,-18.78,-20.11,9.72,1.89,601,3.00,465,533,1,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.14,22.39,38.78,0.00,22.83,0,5.89,11.72,-27.11,66.68,28.08,27.83,14.41,-5.00,-14.39,5,61.77,21.72,0,0.00,66.78,0,0,24.39,40.28,-4.61,0
 05:33:00  19/12/2023,8.39,8.00,9.50,0.89,8.61,-19.78,41,39,-18.78,-20.11,9.72,1.89,601,3.00,465,533,1,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.14,22.39,38.78,0.00,22.83,0,5.89,11.72,-27.11,66.68,28.08,27.83,14.41,-5.00,-14.39,5,61.77,21.72,0,0.00,66.78,0,0,24.39,40.28,-4.61,0
 05:34:00  19/12/2023,8.39,8.00,9.50,0.89,8.61,-19.89,40,39,-19.72,-20.11,9.72,1.89,601,3.00,465,533,1,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.14,22.39,38.78,0.00,22.83,0,5.89,11.72,-27.11,66.68,28.08,27.83,14.41,-5.00,-14.39,5,61.77,21.72,0,0.00,66.78,0,0,24.39,40.17,-4.61,0
 05:35:00  19/12/2023,8.39,8.00,9.50,0.89,8.61,-19.89,40,39,-19.72,-20.11,9.72,1.89,601,3.00,465,533,1,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.14,22.39,38.78,0.00,22.83,0,5.89,11.72,-27.11,66.68,28.08,27.83,14.41,-5.00,-14.39,5,61.77,21.72,0,0.00,66.78,0,0,24.39,40.17,-4.61,0
 05:36:00  19/12/2023,8.39,8.00,9.50,0.89,8.61,-19.89,40,38,-19.50,-20.11,9.72,1.89,601,3.00,465,533,1,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.14,22.39,38.78,0.00,22.83,0,5.89,11.72,-27.11,66.68,28.08,27.83,14.41,-5.00,-14.39,5,61.77,21.72,0,0.00,66.78,0,0,24.39,40.11,-4.61,0
 05:37:00  19/12/2023,8.39,8.00,9.50,0.89,8.61,-19.89,40,38,-19.50,-20.11,9.72,1.89,601,3.00,465,533,1,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.14,22.39,38.78,0.00,22.83,0,5.89,11.72,-27.11,66.68,28.08,27.83,14.41,-5.00,-14.39,5,61.77,21.72,0,0.00,66.78,0,0,24.39,40.11,-4.61,0
 05:38:00  19/12/2023,8.39,8.00,9.50,0.89,8.61,-20.00,40,38,-19.89,-20.11,9.72,1.89,601,3.00,465,533,1,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.14,22.39,38.78,0.00,22.83,0,5.89,11.72,-27.11,66.68,28.08,27.83,14.41,-5.00,-14.39,5,61.77,21.72,0,0.00,66.78,0,0,24.39,40.06,-4.61,0
 05:39:00  19/12/2023,8.39,8.00,9.50,0.89,8.61,-20.00,40,38,-19.89,-20.11,9.72,1.89,601,3.00,465,533,1,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.14,22.39,38.78,0.00,22.83,0,5.89,11.72,-27.11,66.68,28.08,27.83,14.41,-5.00,-14.39,5,61.77,21.72,0,0.00,66.78,0,0,24.39,40.06,-4.61,0
 05:40:00  19/12/2023,8.39,8.00,9.50,0.89,8.61,-20.22,40,37,-20.11,-20.11,9.72,1.89,601,3.00,465,533,1,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.14,22.39,38.78,0.00,22.83,0,5.89,11.72,-27.11,66.68,28.08,27.83,14.41,-5.00,-14.39,5,61.77,21.72,0,0.00,66.78,0,0,24.39,40.00,-4.61,0
 05:41:00  19/12/2023,8.39,8.00,9.50,0.89,8.61,-20.22,40,37,-20.11,-20.11,9.72,1.89,601,3.00,465,533,1,3.00,0,3276.70,95.00,0,7.00,8.00,0,0.30,15.00,35.00,61.14,22.39,38.78,0.00,22.83,0,5.89,11.72,-27.11,66.68,28.08,27.83,14.41,-5.00,-14.39,5,61.77,21.72,0,0.00,66.78,0,0,24.39,40.00,-4.61,0
 05:42:00  19/12/2023,9.00,9.00,10.11,1.72,8.61,-20.11,40,38,-19.89,-19.61,9.72,1.50,615,3.00,466,582,1,3.00,0,3276.70,95.00,0,7.00,7.70,0,7.20,15.00,35.00,65.64,23.00,37.89,6.90,22.78,0,4.89,11.56,-26.83,60.98,29.60,23.94,14.39,-4.17,-14.17,11,63.60,22.94,0,0.00,68.78,0,0,24.50,39.94,-3.78,0
 05:43:00  19/12/2023,9.00,9.00,10.11,1.72,8.61,-20.11,40,38,-19.89,-19.61,9.72,1.50,615,3.00,466,582,1,3.00,0,3276.70,95.00,0,7.00,7.70,0,7.20,15.00,35.00,65.64,23.00,37.89,6.90,22.78,0,4.89,11.56,-26.83,60.98,29.60,23.94,14.39,-4.17,-14.17,11,63.60,22.94,0,0.00,68.78,0,0,24.50,39.94,-3.78,0
 05:44:00  19/12/2023,9.00,9.00,10.11,1.72,8.61,-20.22,39,38,-20.11,-19.61,9.72,1.50,615,3.00,466,582,1,3.00,0,3276.70,95.00,0,7.00,7.70,0,7.20,15.00,35.00,65.64,23.00,37.89,6.90,22.78,0,4.89,11.56,-26.83,60.98,29.60,23.94,14.39,-4.17,-14.17,11,63.60,22.94,0,0.00,68.78,0,0,24.50,39.89,-3.78,0
 05:45:00  19/12/2023,9.00,9.00,10.11,1.72,8.61,-20.22,39,38,-20.11,-19.61,9.72,1.50,615,3.00,466,582,1,3.00,0,3276.70,95.00,0,7.00,7.70,0,7.20,15.00,35.00,65.64,23.00,37.89,6.90,22.78,0,4.89,11.56,-26.83,60.98,29.60,23.94,14.39,-4.17,-14.17,11,63.60,22.94,0,0.00,68.78,0,0,24.50,39.89,-3.78,0
 05:46:00  19/12/2023,9.00,9.00,10.11,1.72,8.61,-20.28,40,37,-19.78,-19.61,9.72,1.50,615,3.00,466,582,1,3.00,0,3276.70,95.00,0,7.00,7.70,0,7.20,15.00,35.00,65.64,23.00,37.89,6.90,22.78,0,4.89,11.56,-26.83,60.98,29.60,23.94,14.39,-4.17,-14.17,11,63.60,22.94,0,0.00,68.78,0,0,24.50,39.83,-3.78,0
 05:47:00  19/12/2023,9.00,9.00,10.11,1.72,8.61,-20.28,40,37,-19.78,-19.61,9.72,1.50,615,3.00,466,582,1,3.00,0,3276.70,95.00,0,7.00,7.70,0,7.20,15.00,35.00,65.64,23.00,37.89,6.90,22.78,0,4.89,11.56,-26.83,60.98,29.60,23.94,14.39,-4.17,-14.17,11,63.60,22.94,0,0.00,68.78,0,0,24.50,39.83,-3.78,0
 05:48:00  19/12/2023,9.00,9.00,10.11,1.72,8.61,-20.22,39,37,-20.11,-19.61,9.72,1.50,615,3.00,466,582,1,3.00,0,3276.70,95.00,0,7.00,7.70,0,7.20,15.00,35.00,65.64,23.00,37.89,6.90,22.78,0,4.89,11.56,-26.83,60.98,29.60,23.94,14.39,-4.17,-14.17,11,63.60,22.94,0,0.00,68.78,0,0,24.50,39.78,-3.78,0
 05:49:00  19/12/2023,9.00,9.00,10.11,1.72,8.61,-20.22,39,37,-20.11,-19.61,9.72,1.50,615,3.00,466,582,1,3.00,0,3276.70,95.00,0,7.00,7.70,0,7.20,15.00,35.00,65.64,23.00,37.89,6.90,22.78,0,4.89,11.56,-26.83,60.98,29.60,23.94,14.39,-4.17,-14.17,11,63.60,22.94,0,0.00,68.78,0,0,24.50,39.78,-3.78,0
 05:50:00  19/12/2023,9.00,9.00,10.11,1.72,8.61,-20.28,39,37,-20.22,-19.61,9.72,1.50,615,3.00,466,582,1,3.00,0,3276.70,95.00,0,7.00,7.70,0,7.20,15.00,35.00,65.64,23.00,37.89,6.90,22.78,0,4.89,11.56,-26.83,60.98,29.60,23.94,14.39,-4.17,-14.17,11,63.60,22.94,0,0.00,68.78,0,0,24.50,39.67,-3.78,0
 05:51:00  19/12/2023,9.00,9.00,10.11,1.72,8.61,-20.28,39,37,-20.22,-19.61,9.72,1.50,615,3.00,466,582,1,3.00,0,3276.70,95.00,0,7.00,7.70,0,7.20,15.00,35.00,65.64,23.00,37.89,6.90,22.78,0,4.89,11.56,-26.83,60.98,29.60,23.94,14.39,-4.17,-14.17,11,63.60,22.94,0,0.00,68.78,0,0,24.50,39.67,-3.78,0
 05:52:00  19/12/2023,9.28,9.28,10.28,1.61,8.61,-20.22,39,37,-19.89,-20.11,9.61,1.28,615,3.00,479,551,0,3.00,0,3276.70,95.00,0,7.00,7.70,0,0.30,15.00,35.00,63.84,23.22,38.35,0.00,23.44,0,5.22,5.50,-27.11,65.85,29.27,26.61,14.31,-3.44,-14.39,5,61.33,21.89,0,0.00,68.28,0,0,24.56,39.67,-4.67,0
 05:53:00  19/12/2023,9.28,9.28,10.28,1.61,8.61,-20.22,39,37,-19.89,-20.11,9.61,1.28,615,3.00,479,551,0,3.00,0,3276.70,95.00,0,7.00,7.70,0,0.30,15.00,35.00,63.84,23.22,38.35,0.00,23.44,0,5.22,5.50,-27.11,65.85,29.27,26.61,14.31,-3.44,-14.39,5,61.33,21.89,0,0.00,68.28,0,0,24.56,39.67,-4.67,0
 05:54:00  19/12/2023,9.28,9.28,10.28,1.61,8.61,-20.28,39,37,-20.22,-20.11,9.61,1.28,615,3.00,479,551,0,3.00,0,3276.70,95.00,0,7.00,7.70,0,0.30,15.00,35.00,63.84,23.22,38.35,0.00,23.44,0,5.22,5.50,-27.11,65.85,29.27,26.61,14.31,-3.44,-14.39,5,61.33,21.89,0,0.00,68.28,0,0,24.56,39.56,-4.67,0
 05:55:00  19/12/2023,9.28,9.28,10.28,1.61,8.61,-20.28,39,37,-20.22,-20.11,9.61,1.28,615,3.00,479,551,0,3.00,0,3276.70,95.00,0,7.00,7.70,0,0.30,15.00,35.00,63.84,23.22,38.35,0.00,23.44,0,5.22,5.50,-27.11,65.85,29.27,26.61,14.31,-3.44,-14.39,5,61.33,21.89,0,0.00,68.28,0,0,24.56,39.56,-4.67,0
 05:56:00  19/12/2023,9.28,9.28,10.28,1.61,8.61,-20.39,40,37,-20.28,-20.11,9.61,1.28,615,3.00,479,551,0,3.00,0,3276.70,95.00,0,7.00,7.70,0,0.30,15.00,35.00,63.84,23.22,38.35,0.00,23.44,0,5.22,5.50,-27.11,65.85,29.27,26.61,14.31,-3.44,-14.39,5,61.33,21.89,0,0.00,68.28,0,0,24.56,39.50,-4.67,0
 05:57:00  19/12/2023,9.28,9.28,10.28,1.61,8.61,-20.39,40,37,-20.28,-20.11,9.61,1.28,615,3.00,479,551,0,3.00,0,3276.70,95.00,0,7.00,7.70,0,0.30,15.00,35.00,63.84,23.22,38.35,0.00,23.44,0,5.22,5.50,-27.11,65.85,29.27,26.61,14.31,-3.44,-14.39,5,61.33,21.89,0,0.00,68.28,0,0,24.56,39.50,-4.67,0
 05:58:00  19/12/2023,9.28,9.28,10.28,1.61,8.61,-20.22,39,37,-20.11,-20.11,9.61,1.28,615,3.00,479,551,0,3.00,0,3276.70,95.00,0,7.00,7.70,0,0.30,15.00,35.00,63.84,23.22,38.35,0.00,23.44,0,5.22,5.50,-27.11,65.85,29.27,26.61,14.31,-3.44,-14.39,5,61.33,21.89,0,0.00,68.28,0,0,24.56,39.39,-4.67,0
 05:59:00  19/12/2023,9.28,9.28,10.28,1.61,8.61,-20.22,39,37,-20.11,-20.11,9.61,1.28,615,3.00,479,551,0,3.00,0,3276.70,95.00,0,7.00,7.70,0,0.30,15.00,35.00,63.84,23.22,38.35,0.00,23.44,0,5.22,5.50,-27.11,65.85,29.27,26.61,14.31,-3.44,-14.39,5,61.33,21.89,0,0.00,68.28,0,0,24.56,39.39,-4.67,0
 06:00:00  19/12/2023,9.28,9.28,10.28,1.61,8.61,-20.28,39,37,-20.22,-20.11,9.61,1.28,615,3.00,479,551,0,3.00,0,3276.70,95.00,0,7.00,7.70,0,0.30,15.00,35.00,63.84,23.22,38.35,0.00,23.44,0,5.22,5.50,-27.11,65.85,29.27,26.61,14.31,-3.44,-14.39,5,61.33,21.89,0,0.00,68.28,0,0,24.56,39.33,-4.67,0
 06:01:00  19/12/2023,9.28,9.28,10.28,1.61,8.61,-20.28,39,37,-20.22,-20.11,9.61,1.28,615,3.00,479,551,0,3.00,0,3276.70,95.00,0,7.00,7.70,0,0.30,15.00,35.00,63.84,23.22,38.35,0.00,23.44,0,5.22,5.50,-27.11,65.85,29.27,26.61,14.31,-3.44,-14.39,5,61.33,21.89,0,0.00,68.28,0,0,24.56,39.33,-4.67,0
 06:02:00  19/12/2023,9.39,9.50,10.39,0.89,8.50,-20.22,39,37,-19.89,-20.11,9.50,1.78,603,3.00,479,535,1,3.00,0,3276.70,95.00,0,7.00,7.70,0,6.40,15.00,35.00,61.63,22.17,38.22,4.70,22.56,0,5.39,11.06,-27.33,62.32,29.37,24.67,14.27,-2.89,-14.39,11,62.12,22.44,0,0.00,70.44,0,0,25.17,39.28,-4.94,0
 06:03:00  19/12/2023,9.39,9.50,10.39,0.89,8.50,-20.22,39,37,-19.89,-20.11,9.50,1.78,603,3.00,479,535,1,3.00,0,3276.70,95.00,0,7.00,7.70,0,6.40,15.00,35.00,61.63,22.17,38.22,4.70,22.56,0,5.39,11.06,-27.33,62.32,29.37,24.67,14.27,-2.89,-14.39,11,62.12,22.44,0,0.00,70.44,0,0,25.17,39.28,-4.94,0
