Name,QUAI 2 expedition:   u17 Ther Air,QUAI 2 expedition:   U77 Ther Air B,SAS 3 huile:   u17 Ther Air,SAS 2 frais:   u17 Ther Air,SAS 1 stockage:   u17 Ther Air,CF NEG Evap 1 et 2:   u09 S5 Temperature,CF NEG Evap 1 et 2:   U82 EEV OD % B,CF NEG Evap 1 et 2:   u23 EEV OD %,CF NEG Evap 1 et 2:   u75 S5 Temperature B,CF NEG Evap 1 et 2:   u17 Ther Air,QUAI 1 reception:   u17 Ther Air,CF POSITIVE:   u17 Ther Air,DGS combles negative:   Gas Level ppm,DGS combles negative:   Gas Level %,DGS 2 combles milieu:   Gas Level ppm,DGS 3 combles quai 2:   Gas Level ppm,GAS COOLER:   Q06 Fan running,GAS COOLER:   P15 % fan for digita,GAS COOLER:   SD4 Mode expert,GAS COOLER:   A07 S4_Exch_AirOutle,GAS COOLER:   S02 % ventilation ma,GAS COOLER:   CF8 Sonde Sc4 T air,GAS COOLER:   Se2 Vitesse Min,GAS COOLER:   A03 Sc3_Outside_Temp,GAS COOLER:   ON  On/Off,GAS COOLER:   A05 External_Referen,GAS COOLER:   S07 Temp exterieure,GAS COOLER:   S06 Temp exterieure,AKPC ROUBY:   Pc,AKPC ROUBY:   Sgc,AKPC ROUBY:   Prec,AKPC ROUBY:   Condenser speed 1,AKPC ROUBY:   Cond. ctrl.,AKPC ROUBY:   Control sensor,AKPC ROUBY:   Trec,AKPC ROUBY:   Superheat MT,AKPC ROUBY:   Suction temp. To-LT,AKPC ROUBY:   Pc,AKPC ROUBY:   Po-MT,AKPC ROUBY:   Tc,AKPC ROUBY:   Po-BT,AKPC ROUBY:   Tc-LT,AKPC ROUBY:   Ss-BT,AKPC ROUBY:   Cond. control status,AKPC ROUBY:   Pgc,AKPC ROUBY:   Cond. temp.,AKPC ROUBY:   V3tw,AKPC ROUBY:   Tw pump speed,AKPC ROUBY:   Sd-MT,AKPC ROUBY:   Liq inj suc line IT,AKPC ROUBY:   Tw pump running,AKPC ROUBY:   Shp,AKPC ROUBY:   Stw8,AKPC ROUBY:   Suction temp. To-MT,AKPC ROUBY:   Heat reclaim state
Units,degc,degc,degc,degc,degc,degc,%,%,degc,degc,degc,degc,,%,,,,%,,,%,,%,,,,degc,degc,Bar,degc,Bar,%,degc,,degc,degc,degc,Bar,Bar,degc,Bar,degc,degc,,Bar,degc,,%,degc,,,degc,degc,degc,
Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Sample Rate,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min
 17:22:00  18/12/2023,12.11,12.28,10.39,2.00,8.78,-20.39,50,21,-20.00,-20.22,11.72,1.00,586,2.90,522,609,0,3.00,0,3276.70,95.00,0,7.00,33.70,0,12.50,15.00,35.00,62.29,23.06,38.61,0.00,22.89,0,5.28,28.39,-26.94,61.61,28.69,24.94,14.33,-3.28,-12.28,5,64.48,22.11,0,0.00,90.50,0,0,23.89,42.72,-7.61,0
 17:23:00  18/12/2023,12.11,12.28,10.39,2.00,8.78,-20.39,50,21,-20.00,-20.22,11.72,1.00,586,2.90,522,609,0,3.00,0,3276.70,95.00,0,7.00,33.70,0,12.50,15.00,35.00,62.29,23.06,38.61,0.00,22.89,0,5.28,28.39,-26.94,61.61,28.69,24.94,14.33,-3.28,-12.28,5,64.48,22.11,0,0.00,90.50,0,0,23.89,42.72,-7.61,0
 17:24:00  18/12/2023,12.11,12.28,10.39,2.00,8.78,-20.50,50,21,-20.22,-20.22,11.72,1.00,586,2.90,522,609,0,3.00,0,3276.70,95.00,0,7.00,33.70,0,12.50,15.00,35.00,62.29,23.06,38.61,0.00,22.89,0,5.28,28.39,-26.94,61.61,28.69,24.94,14.33,-3.28,-12.28,5,64.48,22.11,0,0.00,90.50,0,0,23.89,42.67,-7.61,0
 17:25:00  18/12/2023,12.11,12.28,10.39,2.00,8.78,-20.50,50,21,-20.22,-20.22,11.72,1.00,586,2.90,522,609,0,3.00,0,3276.70,95.00,0,7.00,33.70,0,12.50,15.00,35.00,62.29,23.06,38.61,0.00,22.89,0,5.28,28.39,-26.94,61.61,28.69,24.94,14.33,-3.28,-12.28,5,64.48,22.11,0,0.00,90.50,0,0,23.89,42.67,-7.61,0
 17:26:00  18/12/2023,12.11,12.28,10.39,2.00,8.78,-20.50,51,21,-19.89,-20.22,11.72,1.00,586,2.90,522,609,0,3.00,0,3276.70,95.00,0,7.00,33.70,0,12.50,15.00,35.00,62.29,23.06,38.61,0.00,22.89,0,5.28,28.39,-26.94,61.61,28.69,24.94,14.33,-3.28,-12.28,5,64.48,22.11,0,0.00,90.50,0,0,23.89,42.61,-7.61,0
 17:27:00  18/12/2023,12.11,12.28,10.39,2.00,8.78,-20.50,51,21,-19.89,-20.22,11.72,1.00,586,2.90,522,609,0,3.00,0,3276.70,95.00,0,7.00,33.70,0,12.50,15.00,35.00,62.29,23.06,38.61,0.00,22.89,0,5.28,28.39,-26.94,61.61,28.69,24.94,14.33,-3.28,-12.28,5,64.48,22.11,0,0.00,90.50,0,0,23.89,42.61,-7.61,0
 17:28:00  18/12/2023,12.11,12.28,10.39,2.00,8.78,-20.39,51,21,-20.11,-20.22,11.72,1.00,586,2.90,522,609,0,3.00,0,3276.70,95.00,0,7.00,33.70,0,12.50,15.00,35.00,62.29,23.06,38.61,0.00,22.89,0,5.28,28.39,-26.94,61.61,28.69,24.94,14.33,-3.28,-12.28,5,64.48,22.11,0,0.00,90.50,0,0,23.89,42.61,-7.61,0
 17:29:00  18/12/2023,12.11,12.28,10.39,2.00,8.78,-20.39,51,21,-20.11,-20.22,11.72,1.00,586,2.90,522,609,0,3.00,0,3276.70,95.00,0,7.00,33.70,0,12.50,15.00,35.00,62.29,23.06,38.61,0.00,22.89,0,5.28,28.39,-26.94,61.61,28.69,24.94,14.33,-3.28,-12.28,5,64.48,22.11,0,0.00,90.50,0,0,23.89,42.61,-7.61,0
 17:30:00  18/12/2023,12.11,12.28,10.39,2.00,8.78,-20.50,50,21,-20.22,-20.22,11.72,1.00,586,2.90,522,609,0,3.00,0,3276.70,95.00,0,7.00,33.70,0,12.50,15.00,35.00,62.29,23.06,38.61,0.00,22.89,0,5.28,28.39,-26.94,61.61,28.69,24.94,14.33,-3.28,-12.28,5,64.48,22.11,0,0.00,90.50,0,0,23.89,42.56,-7.61,0
 17:31:00  18/12/2023,12.11,12.28,10.39,2.00,8.78,-20.50,50,21,-20.22,-20.22,11.72,1.00,586,2.90,522,609,0,3.00,0,3276.70,95.00,0,7.00,33.70,0,12.50,15.00,35.00,62.29,23.06,38.61,0.00,22.89,0,5.28,28.39,-26.94,61.61,28.69,24.94,14.33,-3.28,-12.28,5,64.48,22.11,0,0.00,90.50,0,0,23.89,42.56,-7.61,0
 17:32:00  18/12/2023,12.11,12.39,10.39,1.50,8.78,-20.39,50,21,-19.89,-20.11,11.72,1.78,600,2.90,531,611,1,3.00,0,3276.70,95.00,0,7.00,33.70,0,6.90,15.00,35.00,62.65,22.17,37.57,10.50,21.83,0,4.50,30.67,-27.33,64.10,27.41,25.72,14.15,-9.94,-12.28,11,61.65,22.28,0,0.00,93.44,0,0,24.94,42.56,-7.17,0
